shop_name,biko,address,homepage_address,google_map_url,tel
THE BURGER HEARTS,https://retty.me/area/PRE03/ARE363/SUB25703/100000874098/menu/,〒022-0003 岩手県大船渡市盛町町１０−１０,,https://maps.google.com/?cid=5230538465230172685,+81 192-27-5136
Bobbers,,〒022-0002 岩手県大船渡市大船渡町茶屋前４５−１,https://ofunato.jp/Summary/info/382,https://maps.google.com/?cid=7157196453502894842,+81 192-27-3155
Noi Mare,テイクアウトメニュー（ピザ）についてhttps://www.facebook.com/Osteria-Noi-Mare-%E3%83%8E%E3%82%A4%E3%83%9E%E3%83%BC%E3%83%AC-Pizza-Pasta-737514199636588/,〒022-0002 岩手県大船渡市大船渡町茶屋前 茶屋 前 3-2 キャッ セン フード ビレッジ,https://www.facebook.com/Osteria-Noi-Mare-%E3%83%8E%E3%82%A4%E3%83%9E%E3%83%BC%E3%83%AC-Pizza-Pasta-737514199636588/,https://maps.google.com/?cid=1817791320893253753,+81 192-47-4715
海鮮壱番,,〒022-0002 岩手県大船渡市大船渡町赤沢１０−４,http://goishi.co.jp/ichiban.html,https://maps.google.com/?cid=11042861669492880064,+81 120-266-275
モスバーガー 大船渡店,,〒022-0006 岩手県大船渡市立根町岩脇１７−４,https://ssl.mos.jp/shop/detail/08093,https://maps.google.com/?cid=18336214277474359784,+81 192-21-2323
すき家 大船渡赤崎店,,〒022-0007 岩手県大船渡市赤崎町諏訪前３８−５,http://maps.sukiya.jp/p/zen004/dtl/ID0102046/,https://maps.google.com/?cid=894694522899367866,+81 120-498-007
吉野家×はなまるうどん 大船渡店,,〒022-0002 岩手県大船渡市大船渡町野々田２２−３,https://stores.yoshinoya.com/hnmr_046748,https://maps.google.com/?cid=8935280169915212556,+81 192-22-9922
ジェイ・ピザクラブ 大船渡店,,〒022-0002 岩手県大船渡市大船渡町明神前１０−４,,https://maps.google.com/?cid=10157261038572456416,+81 192-25-1815
Cafe de Curry KOJIKA,,〒022-0002 岩手県大船渡市大船渡町野々田２３−１,https://www.instagram.com/cafedecurrykojika/,https://maps.google.com/?cid=17085444396474304290,+81 192-47-4777
Hy's Cafe ハイズカフェ,,〒022-0002 岩手県大船渡市大船渡町野々田,,https://maps.google.com/?cid=4178844258735079314,
三陸おさかな ファクトリー,,〒022-0002 岩手県大船渡市大船渡町野々田１０−３,http://sanriku-osakanafactory.com/,https://maps.google.com/?cid=3444726988465919767,+81 192-47-5309
オオフナトのケムリ,,〒022-0002 岩手県大船渡市大船渡町茶屋前３−２,https://m.facebook.com/OFUNATONOKEMURI/,https://maps.google.com/?cid=17649409059775099833,+81 192-22-7772
貝だしラーメン黒船Second,,〒022-0002 岩手県大船渡市大船渡町茶屋前３−２−２１４０,,https://maps.google.com/?cid=4606348504257783821,+81 192-47-5665
キャッセン 大船渡,,〒022-0002 岩手県大船渡市大船渡町野々田１０−３,http://kyassen.co.jp/,https://maps.google.com/?cid=17287112904246895507,+81 192-22-7910
KESEN ROCK FREAKS,,〒022-0002 岩手県大船渡市大船渡町茶屋前3−２−２４１０,http://go-freaks.com/,https://maps.google.com/?cid=9584731108953110206,+81 192-47-5009
おいもの日,参考：交流施設ほんまるの家FACEBOOK投稿https://www.facebook.com/honmarunoie/posts/3105205773091589,〒029-2205 岩手県陸前高田市高田町荒町33,https://www.instagram.com/oimono_hi,https://maps.google.com/?cid=5411308902354044810,
東京屋カフェ,参考：交流施設ほんまるの家FACEBOOK投稿https://www.facebook.com/honmarunoie/photos/a.2277713179174190/3097990913813075,〒029-2203 岩手県陸前高田市高田町馬場前121ｰ1,https://www.tokyoyarope.jp/,https://maps.google.com/?cid=8414682286516835391,+81 192-54-4545
中華食堂 熊谷,参考：交流施設ほんまるの家FACEBOOK投稿https://www.facebook.com/honmarunoie/posts/3099053507040149,〒029-2205 岩手県陸前高田市高田町馬場前７３ まちなかテラス内,,https://maps.google.com/?cid=9777679836945897768,
和笑輪,お弁当屋さん。,〒029-2205 岩手県陸前高田市高田町鳴石５１−１３２,,https://maps.google.com/?cid=11726642964250198377,+81 192-54-3883
カフェフードバーわいわい,参照：店舗FACEBOOKhttps://www.facebook.com/kafehudobawaiwai/posts/1529058873936601,〒029-2205 岩手県陸前高田市高田町大隅９３−１,http://waiwai-takata.com/,https://maps.google.com/?cid=8190977498981565115,+81 192-47-4290
和食味彩,,〒029-2205 岩手県陸前高田市高田町荒町42,,https://maps.google.com/?cid=10213623095420474222,+81 192-47-4665
居酒屋 膳 陸前高田店,,〒029-2205 岩手県陸前高田市高田町字館の沖１,http://abassetakata.jp/floor/zen,https://maps.google.com/?cid=4307887362158525328,+81 192-22-7021
熊谷珈琲店,参考：交流施設ほんまるの家FACEBOOK投稿https://www.facebook.com/honmarunoie/posts/3100256276919872,〒029-2205 岩手県陸前高田市高田町馬場前７２ 5,http://kumagai-koffee.jp/,https://maps.google.com/?cid=8856983145423723237,+81 90-7664-6271
PECHKA Cafe & Library,おもにコーヒーなどの飲み物。,〒029-2205 岩手県陸前高田市高田町鳴石５１−１６８,https://www.life-with-pechka.com/,https://maps.google.com/?cid=6861065916032688009,+81 192-22-7162
公友館俺っ家,参考：交流施設ほんまるの家FACEBOOK投稿https://www.facebook.com/honmarunoie/posts/3098900887055411※4/17変更あり,〒029-2205 岩手県陸前高田市高田町大町５４－１,http://ww4.et.tiki.ne.jp/~orecchi-fm/mise1.htm,https://maps.google.com/?cid=11604972018471636119,+81 192-22-7705
鶴亀鮨,参考：交流施設ほんまるの家FACEBOOK投稿https://www.facebook.com/honmarunoie/posts/3097880893824077,〒029-2205 岩手県陸前高田市高田町大町,http://mirai-shotengai.jp/shop/tsurukame.html,https://maps.google.com/?cid=2059472212824120114,+81 192-54-2998
カレーとてづくりおやつ フライパン,詳細は公式サイトニュースページにてhttp://fryingpan.jp/news/,〒029-2206 岩手県陸前高田市米崎町樋の口６３−２,http://fryingpan.jp/,https://maps.google.com/?cid=13613535318858178410,+81 192-55-3358
焼肉 のろし,参照：VISIT TAKATAのFACEBOOK投稿https://www.facebook.com/visit.takata/photos/a.171764173501259/520978685246471/,〒029-2206 岩手県陸前高田市米崎町松峰４９−１,,https://maps.google.com/?cid=18046033104593816248,+81 192-47-5529
みつわ飯店,参考：交流施設ほんまるの家FACEBOOK投稿https://www.facebook.com/honmarunoie/posts/3100055926939907,〒029-2205 岩手県陸前高田市高田町大町３,,https://maps.google.com/?cid=8769198355140793929,+81 192-55-3033
四海楼,参考：交流施設ほんまるの家FACEBOOK投稿https://www.facebook.com/honmarunoie/posts/3101095206835979,〒029-2205 岩手県陸前高田市高田町館の沖,,https://maps.google.com/?cid=5287366318049780964,+81 192-55-6525
かき小屋広田湾,参考：交流施設ほんまるの家FACEBOOK投稿https://www.facebook.com/honmarunoie/photos/a.2277713179174190/3100958080183025,〒029-2205 岩手県陸前高田市高田町馬場前,http://www.hirotawan.com/,https://maps.google.com/?cid=16841644100256900207,+81 90-8784-2114
食堂カフェ仙華園×クレープ仙華園,クレープ以外も？　情報求む！,〒029-2206 岩手県陸前高田市米崎町川向７−３,https://hitosara.com/0006061223/?cid=gm_hp,https://maps.google.com/?cid=8371316534242854163,+81 50-5263-6360
カフェ ミュー,参考：交流施設ほんまるの家FACEBOOK投稿https://www.facebook.com/honmarunoie/posts/3105133766432123,〒029-2205 岩手県陸前高田市高田町森の前４７５,,https://maps.google.com/?cid=9471002601468696742,+81 192-55-6888
三陸味処三五十,,〒028-1342 岩手県下閉伊郡山田町川向町１０−６,,https://maps.google.com/?cid=1437060834736547859,+81 193-82-3510
和海味処 いっぷく,,〒028-1332 岩手県下閉伊郡山田町中央町６−２,,https://maps.google.com/?cid=6862775953436015227,+81 193-82-4960
竹松や,,〒028-1332 岩手県下閉伊郡山田町中央町８−９,https://www.facebook.com/Takematsuya.Yamada/,https://maps.google.com/?cid=5650693369476605083,+81 80-5741-5719
梅乃家,,〒028-1341 岩手県下閉伊郡山田町八幡町７,,https://maps.google.com/?cid=4880903418750229612,+81 193-77-3939
うみねこ温泉 湯らっくす,,〒028-1342 岩手県下閉伊郡山田町川向町６−４９,http://tensho-suisan.co.jp/,https://maps.google.com/?cid=16412236832164809778,+81 193-82-4500
魚河岸,,〒028-1351 岩手県下閉伊郡山田町長崎１丁目８−１６,,https://maps.google.com/?cid=3161120862552856760,+81 193-82-2658
居酒屋・寿司ささき,,〒028-1342 岩手県下閉伊郡山田町川向町１６,,https://maps.google.com/?cid=18227664708167793237,+81 193-82-5295
グルメハウスシンコー,,〒028-1342 岩手県下閉伊郡山田町川向町７,,https://maps.google.com/?cid=15890118076022454650,+81 193-82-2306
三陸味処三五十,麵類を除くほぼ全てのメニューでテイクアウト可　電話、来店対応のみ　@yamada.migoto,〒028-1342 岩手県下閉伊郡山田町川向町１０−６,http://migoto-yamada.jimdo.com/,https://maps.google.com/?cid=1437060834736547859,+81 193-82-3510
和海味処 いっぷく,"天丼（1,400円）、天むす（400円）、玉子焼き（500円）ほか多数あり【金額は税抜き】　電話、来店対応のみ　０１９３３−８２−４９６０",〒028-1332 岩手県下閉伊郡山田町中央町６−２,,https://maps.google.com/?cid=6862775953436015227,+81 193-82-4960
竹松や,フェイスブックでメニューなどの紹介随時しています！　電話、来店対応のみwww.facebook.com,〒028-1332 岩手県下閉伊郡山田町中央町８−９,https://www.facebook.com/Takematsuya.Yamada/,https://maps.google.com/?cid=5650693369476605083,+81 80-5741-5719
梅乃家,テイクアウト　天ぷら弁当（800円）、天丼（950円）、カレーライス（600円）ほか、単品メニューも多数あり【金額は税込み】　電話対応のみ,〒028-1341 岩手県下閉伊郡山田町八幡町７,,https://maps.google.com/?cid=4880903418750229612,+81 193-77-3939
うみねこ温泉 湯らっくす,デリバリー　日替わり弁当（４５０円）【金額は税込み】　電話対応のみ,〒028-1342 岩手県下閉伊郡山田町川向町６−４９,http://tensho-suisan.co.jp/,https://maps.google.com/?cid=16412236832164809778,+81 193-82-4500
魚河岸,"テイクアウト・デリバリー　並にぎり（１,４００円）、サラダ巻３本（７００円）、天丼（９００円）【金額は税抜き】　他多数あり　電話、来店対応のみ",〒028-1351 岩手県下閉伊郡山田町長崎１丁目８−１６,,https://maps.google.com/?cid=3161120862552856760,+81 193-82-2658
居酒屋・寿司ささき,テイクアウト　汁物意外は全てテイクアウト可。　電話、来店対応のみ,〒028-1342 岩手県下閉伊郡山田町川向町１６,,https://maps.google.com/?cid=18227664708167793237,+81 193-82-5295
グルメハウスシンコー,テイクアウト　えびピラフ（７００円）、ナポリタン（６８０円）、カツカレー（９５０円）他多数あり【金額は税込み】　電話、来店対応のみ,〒028-1342 岩手県下閉伊郡山田町川向町７,,https://maps.google.com/?cid=15890118076022454650,+81 193-82-2306
御食事処　酣,デリバリー　マーボーカレー（９５０円）、焼肉丼（８５０円）、エビチャーハン（８００円）他多数あり【金額は税抜き】　電話対応のみ,〒028-1342 岩手県下閉伊郡山田町川向町８−５,,https://maps.google.com/?cid=12100120604627425160,+81 193-82-9649
旬味処　初音,テイクアウト　弁当（指定の金額に応じて対応）　電話対応のみ,〒028-1351 岩手県下閉伊郡山田町長崎３丁目１−３２,,https://maps.google.com/?cid=6188649177529178491,+81 193-82-5207
shop_name,biko,address,homepage_address,google_map_url,tel
三陸味処三五十,麵類を除くほぼ全てのメニューでテイクアウト可　電話、来店対応のみ　@yamada.migoto,〒028-1342 岩手県下閉伊郡山田町川向町１０−６,http://migoto-yamada.jimdo.com/,https://maps.google.com/?cid=1437060834736547859,+81 193-82-3510
和海味処 いっぷく,"天丼（1,400円）、天むす（400円）、玉子焼き（500円）ほか多数あり【金額は税抜き】　電話、来店対応のみ　０１９３３−８２−４９６０",〒028-1332 岩手県下閉伊郡山田町中央町６−２,,https://maps.google.com/?cid=6862775953436015227,+81 193-82-4960
竹松や,フェイスブックでメニューなどの紹介随時しています！　電話、来店対応のみwww.facebook.com,〒028-1332 岩手県下閉伊郡山田町中央町８−９,https://www.facebook.com/Takematsuya.Yamada/,https://maps.google.com/?cid=5650693369476605083,+81 80-5741-5719
梅乃家,テイクアウト　天ぷら弁当（800円）、天丼（950円）、カレーライス（600円）ほか、単品メニューも多数あり【金額は税込み】　電話対応のみ,〒028-1341 岩手県下閉伊郡山田町八幡町７,,https://maps.google.com/?cid=4880903418750229612,+81 193-77-3939
うみねこ温泉 湯らっくす,デリバリー　日替わり弁当（４５０円）【金額は税込み】　電話対応のみ,〒028-1342 岩手県下閉伊郡山田町川向町６−４９,http://tensho-suisan.co.jp/,https://maps.google.com/?cid=16412236832164809778,+81 193-82-4500
魚河岸,"テイクアウト・デリバリー　並にぎり（１,４００円）、サラダ巻３本（７００円）、天丼（９００円）【金額は税抜き】　他多数あり　電話、来店対応のみ",〒028-1351 岩手県下閉伊郡山田町長崎１丁目８−１６,,https://maps.google.com/?cid=3161120862552856760,+81 193-82-2658
居酒屋・寿司ささき,テイクアウト　汁物意外は全てテイクアウト可。　電話、来店対応のみ,〒028-1342 岩手県下閉伊郡山田町川向町１６,,https://maps.google.com/?cid=18227664708167793237,+81 193-82-5295
グルメハウスシンコー,テイクアウト　えびピラフ（７００円）、ナポリタン（６８０円）、カツカレー（９５０円）他多数あり【金額は税込み】　電話、来店対応のみ,〒028-1342 岩手県下閉伊郡山田町川向町７,,https://maps.google.com/?cid=15890118076022454650,+81 193-82-2306
御食事処　酣,デリバリー　マーボーカレー（９５０円）、焼肉丼（８５０円）、エビチャーハン（８００円）他多数あり【金額は税抜き】　電話対応のみ,〒028-1342 岩手県下閉伊郡山田町川向町８−５,,https://maps.google.com/?cid=12100120604627425160,+81 193-82-9649
旬味処　初音,テイクアウト　弁当（指定の金額に応じて対応）　電話対応のみ,〒028-1351 岩手県下閉伊郡山田町長崎３丁目１−３２,,https://maps.google.com/?cid=6188649177529178491,+81 193-82-5207
和海浜処 いっぷく,"テイクアウト　　国産牛天丼（1,500円）、イカのしろっこ丼（700円）、小フグ唐揚げ（600円）ほか多数あり【金額は税抜き】　0193-84-4005",,,,
くいしん坊,テイクアウト　　チャーハン（３２０円）、餃子（４００円）、弁当（４３０円）、おにぎり（２２０円）【金額は税抜き】　電話、来店対応のみ,〒028-1371 岩手県下閉伊郡山田町船越第６地割４５−２,,https://maps.google.com/?cid=6349980591275743190,+81 193-84-2022
味処　舟源,テイクアウト　　天ぷら（７００円）、唐揚げ’（６５０円）、焼鳥盛り合わせ１人前（６５０円）他多数あり　【金額は税込み】　電話、来店対応のみ,〒028-1302 岩手県下閉伊郡山田町豊間根２−33−１２１,,https://maps.google.com/?cid=18440378360592704837,+81 193-86-2480
復活　おかだ,テイクアウト・デリバリー　　親子丼（５８０円）、玉子丼（５００円）、餃子（３８０円）他多数あり【金額は税込み】他多数あり　電話、来店、FAX対応のみ　０１９３−８６−２０８４,〒028-1302 岩手県下閉伊郡山田町豊間根3−３５−３６ 下閉伊,,https://maps.google.com/?cid=4850708862651827754,
禅,"テイクアウト　　オードブル【串焼、揚げ物など】（１,５００円）、ざるそば（４３２円）他のメニューは相談に応じて対応【金額は税込み】　電話、来店対応のみ　０１９３−６５−８４８７",,,,
竹寿し,"テイクアウト・デリバリー　　並にぎり（１,４００円）、並ちらし（１,７００円）、かつ丼（８５０円）他多数あり【金額は税込み】　電話、来店対応のみ",〒028-1351 岩手県下閉伊郡山田町長崎４丁目１４−２４,,https://maps.google.com/?cid=6624002079626192908,+81 193-82-2779
寅丸水産,デリバリーメニュー：お弁当（450円〜希望のお値段で）090-4040-3936,,,,
ばぁばキッチン,,〒028-1116 岩手県上閉伊郡大槌町本町１ 1番13号,https://sanriku-yataimura-otsuchi.jp/store/s01/,https://maps.google.com/?cid=13615832911990635804,+81 193-24-9001
チャリカフェ（内金崎自転車商会）,,〒028-1117 岩手県上閉伊郡大槌町末広町１２−１４,https://www.facebook.com/charicafe.otsuchi/,https://maps.google.com/?cid=14176913024923790371,+81 193-27-5888
どんりゅう庵,,〒028-1116 岩手県上閉伊郡大槌町本町１−１７,,https://maps.google.com/?cid=9589619670460653940,+81 193-41-1777
ホテルサンルート釜石,仕出しあり,〒026-0024 岩手県釜石市大町２丁目３−３,http://hsrkam.lix.jp/,https://maps.google.com/?cid=18406420978419402695,+81 193-24-3311
（株）新華園 本店,,〒026-0024 岩手県釜石市大町２丁目１−２０,http://ameblo.jp/shinkanen/page-5.html,https://maps.google.com/?cid=10796962701316611888,+81 193-22-1888
なにわや,080-3330-3958https://localplace.jp/sp/t100464281/menu/2/,〒026-0024 岩手県釜石市大町１丁目２−１０ タウンポート大町 1-C,https://www.google.co.jp/amp/s/s.tabelog.com/iwate/A0304/A030402/3010716/top_amp/,https://maps.google.com/?cid=13546233965873641048,+81 80-3330-3958
マルワマート 大町店,,〒026-0024 岩手県釜石市大町１丁目１０−６,https://maruwamart.co.jp/,https://maps.google.com/?cid=8736077357534327426,+81 193-24-3726
大正軒,たこ焼き15個500円,〒026-0025 岩手県釜石市大渡町１丁目７−１１,,https://maps.google.com/?cid=7868926024070910252,+81 193-24-2922
ベック Bec'k,4/17よりテイクアウト開始。店主facebookに詳細https://www.facebook.com/profile.php?id=100007362706698,〒026-0024 岩手県釜石市大町１丁目３−１２,,https://maps.google.com/?cid=3335771883961391554,
ＴＯＫＵＺＯ,http://kamaishi-town.com/archives/8400604.html,〒026-0024 岩手県釜石市大町１丁目４−１,,https://maps.google.com/?cid=6574257862646248317,+81 193-22-5677
釜石ラーメン 大連,一部商品のみ,〒026-0024 岩手県釜石市大町１丁目２−１０,,https://maps.google.com/?cid=15846879364215726204,+81 193-22-1230
回転ずし ずいほう,,〒026-0021 岩手県釜石市只越町１丁目１−２１,,https://maps.google.com/?cid=11393686166717729455,+81 193-27-8284
料亭 幸楼,お弁当注文承り中とのこと。,〒026-0013 岩手県釜石市浜町３丁目１３−６,,https://maps.google.com/?cid=6001173646318482917,+81 193-22-3017
和の膳みや川,,〒026-0031 岩手県釜石市鈴子町２−１,,https://maps.google.com/?cid=3279402525928879006,+81 193-22-1234
あゆとく,,〒026-0041 岩手県釜石市上中島町１丁目１−３５,https://ayutoku.com/,https://maps.google.com/?cid=14792858196529506771,+81 193-23-5099
新来軒,https://retty.me/area/PRE03/ARE363/SUB25702/100001196567/menu/,〒026-0053 岩手県釜石市定内町３丁目１６−１４,,https://maps.google.com/?cid=14960266355799238270,+81 193-55-6077
釜石・更科,出前を行っているそうです。,〒026-0052 岩手県釜石市小佐野町１丁目１−２６,https://www.facebook.com/%E3%81%9D%E3%81%B0%E5%87%A6-%E9%87%9C%E7%9F%B3-%E6%9B%B4%E7%A7%91-223528871152873/,https://maps.google.com/?cid=14498678660125708460,+81 193-23-5103
ブルーア・シエーロ,,〒026-0041 岩手県釜石市上中島町４丁目４−１７,https://www.facebook.com/Blua-cielo-1768535436791796/,https://maps.google.com/?cid=10997118564808014678,
よつばや,https://yotubaya.crayonsite.net/p/4/,〒026-0055 岩手県釜石市甲子町第９地割 甲子町第９地割４６,https://yotubaya.crayonsite.net/,https://maps.google.com/?cid=3536200318901394714,
パンの国,,〒026-0054 岩手県釜石市野田町１丁目１２−１８,,https://maps.google.com/?cid=5618264464465011363,+81 193-23-8092
古川食堂,電話予約で仕出しのお弁当を作ってくれます,〒026-0301 岩手県釜石市鵜住居町第１６地割１,,https://maps.google.com/?cid=16028661369633347113,
沢口製パン,,〒026-0301 岩手県釜石市鵜住居町第８地割３６−１,,https://maps.google.com/?cid=15493933215993805632,+81 193-28-2132
まきば,テイクアウトを始めたとのこと。詳細はインスタをご確認ください。,〒026-0043 岩手県釜石市新町９−１１,,https://maps.google.com/?cid=17230669517200350216,+81 193-23-7887
あんでるせん,,〒026-0302 岩手県釜石市片岸町第９地割260番地,http://touhoku.me/andersen/,https://maps.google.com/?cid=2008781650714104897,+81 193-28-4466
三陸居酒屋 漁火,,〒026-0024 岩手県釜石市大町１丁目９−５,https://www.isaribi0501.com/,https://maps.google.com/?cid=5567566289875334058,+81 193-27-8850
ＨＡＭＡＹＵＩ,,〒026-0012 岩手県釜石市魚河岸３−３ 2F,http://hamayui.jimdo.com/,https://maps.google.com/?cid=10649185927954215592,+81 193-55-6616
三陸ぱすた,テイクアウト対応中。,〒026-0024 岩手県釜石市大町１丁目３−８ 漁火酒場かまりば,https://www.facebook.com/sanrikupasta/,https://maps.google.com/?cid=11364695573230091689,+81 70-1183-7260
ほっかほっか亭 釜石新町店,,〒026-0043 岩手県釜石市新町９−９,https://www.hokkahokka-tei.jp/,https://maps.google.com/?cid=2529083687292110507,+81 193-27-5822
かまどや 大渡店,,〒026-0025 岩手県釜石市大渡町３丁目１２−１４,https://www.honkekamadoya.co.jp/shop/1101030070,https://maps.google.com/?cid=16607249633624027626,+81 193-22-2231
大戸屋ごはん処 イオンタウン釜石店,,〒026-0011 岩手県釜石市港町２丁目１−１ イオンタウン釜石店 2F,https://www.ootoya.com/,https://maps.google.com/?cid=7346108105365879839,+81 193-55-5364
吉野家 イオンタウン釜石店,,〒026-0011 岩手県釜石市港町２丁目１−１ イオンタウン釜石 ２Ｆ,https://stores.yoshinoya.com/ysn_046929,https://maps.google.com/?cid=9238108949358298355,+81 193-55-6254
