title,description,address,homepage_address,google_map_url,tel
楽菜,通常メニュー、オードブル等ご予算に応じてテイクアウト承ります。TEL事前注文だとお待たせしません。|容器代は別途かかります。|※コロナ企画として、「かた焼きそば」は、テイクアウト限定で、容器代も消費税も込みで1000円に割引中です。|食べたことがある人なら分かるボリュームです。||11:00-14:00、18:00-22:00|日曜定休,〒027-0082 岩手県宮古市向町３−５,https://m.facebook.com/%E6%A5%BD%E8%8F%9C%E7%84%A1%E5%9B%BD%E7%B1%8D%E3%83%80%E3%82%A4%E3%83%8B%E3%83%B3%E3%82%B0-291538324340257/?locale2=ja_JP,https://maps.google.com/?cid=14858704850865379139,
ホテル近江屋,,〒027-0024 岩手県宮古市磯鶏１丁目１−１８,http://www.hotel-oomiya.co.jp/,https://maps.google.com/?cid=8651344996375877860,0193-62-3660
はなや蕎麦たろう,,〒027-0000 岩手県宮古市田老１丁目２−２１,,https://maps.google.com/?cid=1987560699920369954,0193-87-3750
鳥庄,テイクアウト情報ありました,〒027-0083 岩手県宮古市大通２丁目１−６,,https://maps.google.com/?cid=2108306065936336979,0193-64-6548
リストランテＫＡＴＵＹＡＭＡ,【メニュー】日替り選べるパスタ４種類から、日替りスープ＋自家製パン＋サラダ、洋食弁当（パテ、テリーヌ、マリネ、お肉料理、パンetc）、オードブル取り合わせ、KATUYAMAおまかせピアット（オードブル各種、パン、パスタ、サラダ、魚介類、お肉（牛肉）、デザート）||※KATUYAMAおまかせピアット以外は前日までのご予約でお願い申し上げます。||Ristorante KATUYAMAの味をご家庭でお召し上がり下さい。コロナに負けるな！！,〒027-0085 岩手県宮古市黒田町６−２９,,https://maps.google.com/?cid=3755170948760615389,0193-62-0022
グリーンピア三陸みやこ,※4月18日から当面の間、休業中||こだわりお花見弁当を５名様以上で受付。|要事前予約。フロント渡しかデリバリー。|詳細はHP。|http://www.greenpia-sanrikumiyako.com/news/article.php?p=51,〒027-0373 岩手県宮古市田老向新田１４８,http://www.greenpia-sanrikumiyako.com/,https://maps.google.com/?cid=3400311563044381671,0193－87－5111
浄土ヶ浜レストハウス,※4/29(水)～5/12(火)まで休業予定||当面は企業向け限定ですが特製デリバリー弁当を受け付けています。|要事前予約。　税込600円〜。前日〜当日9時まで受付（平日のみ）　配達11時〜12時の間。10個以上は前日注文。,,http://www.kankou385.sakura.ne.jp/resthouse/,https://maps.google.com/?cid=5930985509379577925,0193-62-1179
魚彩亭すみよし,,〒027-0076 岩手県宮古市栄町２−１０,,https://maps.google.com/?cid=7527116058137703389,0193-62-3244
まとい寿し,,〒027-0083 岩手県宮古市大通１丁目１−１４,,https://maps.google.com/?cid=12378510067714286260,0193-62-0262
大阪王将 宮古店,月曜定休|11:00～15:00(LO.14:00)、17:00～22:00(LO.21:30),〒027-0083 岩手県宮古市大通４丁目４−２０,https://www.osaka-ohsho.com/store/detail.php?area=iwate&id=miyako,https://maps.google.com/?cid=10880470164995363414,0193-62-5366
